STATE_ABBR,statename,state,region,division,rz_ext,rz_agr,rz_cns,rz_neu,rz_opn,mzextra,mzagree,mzconsc,mzneuro,mzopen,fzextra,fzagree,fzconsc,fzneuro,fzopen,E_LT30,A_LT30,C_LT30,N_LT30,O_LT30,E_GT30,A_GT30,C_GT30,N_GT30,O_GT30,GenD_E,GenD_A,GenD_C,GenD_N,GenD_O,AgeD_E,AgeD_A,AgeD_C,AgeD_N,AgeD_O,TFR,alpha,peak,stop,ageFB,t_ageFM,nevermar,divorce,cohabit,abortion,t_nmf,unintprg,famplnpw,med_inc,perAA,perHisp,perFem,perBA,perUrb,voteO,vryrel,relcons
AK,Alabama,1,3,6,-0.125762,-0.104588,-0.109966,-0.049075,0.05163,-0.004242,0.412499,0.30171,-0.326062,0.427654,0.139469,0.534365,0.337558,-0.013555,0.41993,-0.140225,-0.133313,-0.142583,-0.041884,0.06456,-0.093362,-0.04024,-0.036899,-0.065184,0.022665,-0.143711,-0.121866,-0.035848,-0.312507,0.007724,-0.046863,-0.093073,-0.105684,0.0233,0.041896,2.347,13.3384,23.9056,2.8541,24.3,25.85,0.316093,0.016276,8.2,12,31.9,53,147,64576,3.7,5.5,47.9,27.2,66.02,38.74,56.3,42.76
AL,Alaska,2,4,9,0.043042,0.100483,0.08065,-0.015238,-0.112345,0.112153,0.504055,0.357393,-0.292434,0.394611,0.250319,0.635946,0.440848,0.0122,0.300435,0.051194,0.140257,0.130334,-0.030951,-0.109746,0.017092,-0.02613,-0.077508,0.034782,-0.120618,-0.138166,-0.131891,-0.083455,-0.304634,0.094176,0.034101,0.166388,0.207842,-0.065733,0.010872,1.8715,11.279618,24.63356,4.435501,23.6,26.6,0.291652,0.017909,4.8,12,45,55,147,40474,26.2,3.9,51.5,21.7,59.04,37.89,27.9,18.75
AR,Arizona,4,4,8,-0.009335,-0.015433,-0.058324,0.076501,-0.080592,0.090463,0.468918,0.313488,-0.242351,0.435278,0.200209,0.574798,0.384941,0.061924,0.311068,-0.009714,-0.012163,-0.048157,0.072481,-0.03603,-0.008526,-0.022415,-0.080035,0.085087,-0.175739,-0.109746,-0.10588,-0.071453,-0.304275,0.12421,-0.001189,0.010252,0.031878,-0.012606,0.139709,2.003,12.428397,23.176323,4.598583,23,25.65,0.263799,0.018978,5.3,8.7,39.1,56,152,38307,15.4,6.4,50.9,19.1,56.16,45.12,35.7,18.08
AZ,Arkansas,5,3,7,0.012155,-0.007023,0.00843,-0.04365,0.002879,0.100366,0.469782,0.343585,-0.307043,0.45229,0.219097,0.578078,0.413102,-0.013868,0.365238,-0.003936,0.007324,0.020526,-0.047188,0.014119,0.051829,-0.042397,-0.021394,-0.034928,-0.024835,-0.118731,-0.108296,-0.069517,-0.293175,0.087052,-0.055765,0.049721,0.04192,-0.01226,0.038953,2.068,10.913909,25.192516,2.92486,24,26.8,0.316186,0.014391,7.7,15.2,41.3,51,151,46789,4.1,29.6,50.3,26.3,89.81,38.86,52.1,39.93
CA,California,6,4,9,-0.043034,-0.035667,-0.065377,-0.014349,0.092209,0.058111,0.463655,0.294992,-0.271535,0.496399,0.187948,0.557243,0.376993,-0.004257,0.41169,-0.07076,-0.023765,-0.05961,-0.013238,0.082416,0.027033,-0.065745,-0.079949,-0.017157,0.116955,-0.129837,-0.093588,-0.082001,-0.267278,0.084709,-0.097794,0.04198,0.020339,0.003918,-0.034539,1.9475,7.012688,28.853495,2.941833,25.6,28.3,0.360036,0.012347,8,27.6,33.9,56,245,57708,6.2,37.6,50.3,30.1,94.95,61.01,34,11.45
CO,Colorado,8,4,8,-0.004892,-0.065783,-0.02211,-0.045139,0.07384,0.084083,0.433223,0.310563,-0.315733,0.47764,0.211284,0.552301,0.40693,-0.010579,0.407388,-0.007388,-0.066719,-0.012239,-0.044091,0.078307,0.001056,-0.063551,-0.045642,-0.047637,0.063192,-0.127201,-0.119078,-0.096367,-0.305154,0.070252,-0.008443,-0.003168,0.033403,0.003546,0.015115,1.924,6.950724,28.279682,3.288943,25.7,27.15,0.306618,0.015716,8.1,15.7,29.8,48,80,54046,4,20.7,49.9,35.9,86.15,53.66,32.6,14.78
CT,Connecticut,9,1,1,-0.006296,-0.047407,-0.02054,0.04852,0.040556,0.097373,0.454545,0.301121,-0.250429,0.46528,0.209257,0.548731,0.391567,0.043308,0.384142,-0.005837,-0.051523,-0.011675,0.04676,0.016649,-0.007525,-0.036399,-0.044249,0.053229,0.104493,-0.111884,-0.094186,-0.090446,-0.293737,0.081138,0.001688,-0.015124,0.032574,-0.006469,-0.087844,1.723,8.847165,31.36033,4.006887,27.2,29,0.329705,0.013804,6.5,24.6,32,51,65,64032,10.1,13.4,51.3,35.2,87.99,60.59,31.4,4.82
DE,Delaware,10,3,5,0.04589,-0.028464,0.000673,0.011384,-0.07905,0.100926,0.463823,0.301602,-0.298517,0.39738,0.25904,0.558786,0.405779,0.034613,0.326145,0.043698,-0.025835,-0.007771,0.015135,-0.091198,0.051908,-0.03568,0.023852,0.001089,-0.045707,-0.158114,-0.094963,-0.104177,-0.33313,0.071235,-0.00821,0.009845,-0.031622,0.014045,-0.045491,1.937,9.613708,27.802944,3.913923,25,27.25,0.329927,0.015621,7,40,42.5,60,143,55847,21.4,8.2,51.6,27.7,83.3,61.94,34.1,7.74
FL,Florida,12,3,5,0.021027,-0.010757,0.018646,-0.041352,0.037035,0.112721,0.478094,0.350007,-0.313236,0.458976,0.222724,0.569544,0.413984,-0.008521,0.388551,0.00516,0.000156,0.020884,-0.043194,0.054222,0.059181,-0.036998,0.013264,-0.036923,-0.004293,-0.110003,-0.09145,-0.063977,-0.304715,0.070425,-0.054021,0.037154,0.00762,-0.006271,0.058515,1.834,10.475197,26.244766,2.982033,25,28.3,0.301543,0.014378,7.6,27.2,40.5,59,92,44409,16,22.5,51.1,25.9,91.16,51.03,39,16.95
GA,Georgia,13,3,5,0.019308,0.033503,0.037481,-0.046781,-0.012144,0.106312,0.491209,0.354569,-0.320045,0.459446,0.219612,0.599995,0.44037,-0.00852,0.350286,0.01192,0.038475,0.051354,-0.049645,0.012565,0.036056,0.02223,0.006027,-0.040288,-0.068165,-0.1133,-0.108786,-0.085801,-0.311525,0.10916,-0.024136,0.016245,0.045328,-0.009356,0.080731,1.9625,11.787196,24.175615,2.506434,24.5,27.35,0.324552,0.016107,6.1,19.2,39.6,57,142,46430,30.5,8.8,51.2,27.2,75.07,46.99,48.5,30.25
